    Step 	 <(r-r')^2> 	 <(v-v')^2> 
805	0.211233	0.00941257
806	0.162265	0.0096822
807	0.118887	0.00998504
808	0.0954701	0.0102307
809	0.0320158	0.0104052
810	0.0320268	0.0106215
811	0.0320379	0.0108768
812	0.0916724	0.011173
813	0.0320604	0.0115604
814	0.0780231	0.0120603
815	0.0779916	0.0126074
816	0.0320949	0.013152
817	0.0617429	0.0136784
818	0.0617673	0.0141748
819	0.0617926	0.0146415
820	0.098209	0.015064
821	0.178601	0.0154367
822	0.216947	0.0158074
823	0.216937	0.0161558
824	0.258763	0.0164457
825	0.216917	0.0166768
826	0.333257	0.0168517
